timestamp,dataset,task,algorithm,target_col,split,n_train,n_test,accuracy,precision,recall,f1,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,mae,rmse,r2,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,silhouette_score,cv_silhouette_mean,cv_silhouette_std,n_clusters,notes
2026-08-01T15:15:48.290109,dow_jones_index,regression,xgboost,percent_change_next_weeks_price,chronological_80%,,,,,,,,,,,2.6991,3.3136,-0.0188,2.3027,0.3217,2.991,0.5088,-0.3851,0.1669,,,,,
2026-08-01T15:15:53.964000,dow_jones_index,clustering,kmeans,,,,,,,,,,,,,,,,,,,,,,0.3289,0.3277,0.0019,2,
2026-08-01T15:15:56.028558,dow_jones_index,clustering,hierarchical,,,,,,,,,,,,,,,,,,,,,,0.2427,,,4,
2026-08-01T15:15:57.556809,dow_jones_index,clustering,dbscan,,,,,,,,,,,,,,,,,,,,,,-0.0078,,,6,outliers=333
2026-08-01T15:15:59.746658,dow_jones_index,clustering,gaussian_mixture,,,,,,,,,,,,,,,,,,,,,,0.2193,0.2278,0.0036,3,
2026-08-01T15:24:12.612779,realwaste,clustering,kmeans,,,,,,,,,,,,,,,,,,,,,,0.2508,0.2505,0.0015,2,
2026-08-01T15:24:15.219687,realwaste,clustering,hierarchical,,,,,,,,,,,,,,,,,,,,,,0.1515,,,9,
2026-08-01T15:24:15.948651,realwaste,clustering,dbscan,,,,,,,,,,,,,,,,,,,,,,,,,0,outliers=4752
2026-08-01T15:24:22.160221,realwaste,clustering,gaussian_mixture,,,,,,,,,,,,,,,,,,,,,,0.1183,0.1203,0.0011,3,
2026-08-01T15:25:05.115954,heartbeat_sounds,clustering,kmeans,,,,,,,,,,,,,,,,,,,,,,0.5073,0.4963,0.0134,2,
2026-08-01T15:25:06.197958,heartbeat_sounds,clustering,hierarchical,,,,,,,,,,,,,,,,,,,,,,0.2791,,,4,
2026-08-01T15:25:07.157995,heartbeat_sounds,clustering,dbscan,,,,,,,,,,,,,,,,,,,,,,-0.2565,,,7,outliers=349
2026-08-01T15:25:08.509788,heartbeat_sounds,clustering,gaussian_mixture,,,,,,,,,,,,,,,,,,,,,,0.4564,0.4225,0.046,3,
2026-08-01T15:27:03.617277,healthcare_dataset_stroke,classification,logistic,stroke,train=80%/test=20%,4088,1022,0.7417,0.9433,0.7417,0.8147,0.7315,0.0083,0.8078,0.0057,,,,,,,,,,,,,,
2026-08-01T15:27:04.784558,healthcare_dataset_stroke,classification,decision_tree,stroke,train=80%/test=20%,4088,1022,0.7945,0.9418,0.7945,0.8502,0.7397,0.0309,0.813,0.0211,,,,,,,,,,,,,,
2026-08-01T15:27:08.653515,healthcare_dataset_stroke,classification,random_forest,stroke,train=80%/test=20%,4088,1022,0.8503,0.9379,0.8503,0.8854,0.8444,0.0145,0.8805,0.0094,,,,,,,,,,,,,,
2026-08-01T15:27:11.239516,healthcare_dataset_stroke,classification,gradient_boosting,stroke,train=80%/test=20%,4088,1022,0.9501,0.9045,0.9501,0.9267,0.9501,0.0012,0.9273,0.001,,,,,,,,,,,,,,
2026-08-01T15:27:12.415432,healthcare_dataset_stroke,classification,logistic,hypertension,train=80%/test=20%,4088,1022,0.684,0.8914,0.684,0.7478,0.6947,0.0145,0.7563,0.011,,,,,,,,,,,,,,
2026-08-01T15:27:13.502892,healthcare_dataset_stroke,classification,decision_tree,hypertension,train=80%/test=20%,4088,1022,0.635,0.8976,0.635,0.7086,0.6301,0.0134,0.7048,0.0112,,,,,,,,,,,,,,
2026-08-01T15:27:17.528755,healthcare_dataset_stroke,classification,random_forest,hypertension,train=80%/test=20%,4088,1022,0.7417,0.8752,0.7417,0.7894,0.7415,0.0137,0.7897,0.0095,,,,,,,,,,,,,,
2026-08-01T15:27:20.250017,healthcare_dataset_stroke,classification,gradient_boosting,hypertension,train=80%/test=20%,4088,1022,0.8992,0.843,0.8992,0.8578,0.9008,0.0019,0.8568,0.0026,,,,,,,,,,,,,,
2026-08-01T15:27:21.431674,healthcare_dataset_stroke,classification,logistic,heart_disease,train=80%/test=20%,4088,1022,0.7485,0.9374,0.7485,0.8167,0.7546,0.0137,0.8209,0.0094,,,,,,,,,,,,,,
2026-08-01T15:27:22.566124,healthcare_dataset_stroke,classification,decision_tree,heart_disease,train=80%/test=20%,4088,1022,0.7241,0.9251,0.7241,0.7991,0.7438,0.0258,0.813,0.018,,,,,,,,,,,,,,
2026-08-01T15:27:26.500327,healthcare_dataset_stroke,classification,random_forest,heart_disease,train=80%/test=20%,4088,1022,0.8209,0.9251,0.8209,0.8631,0.8384,0.0126,0.8754,0.0087,,,,,,,,,,,,,,
